Tournament,Place, Prize Money ($)
TAC1,1,"1000000"
TAC1,2,"500000"
TAC1,3,"250000"
TAC1,4,"250000"
TAC1,5,"75000"
TAC1,6,"75000"
TAC1,7,"75000"
TAC1,8,"75000"
TAE21,1,"1000000"
TAE21,2,"450000"
TAE21,3,"225000"
TAE21,4,"225000"
TAE21,5,"80000"
TAE21,6,"80000"
TAE21,7,"80000"
TAE21,8,"80000"
TAW11,1,"1250000"
TAW11,2,"600000"
TAW11,3,"300000"
TAW11,4,"300000"
TAW11,5,"100000"
TAW11,6,"100000"
TAW11,7,"100000"
TAW11,8,"100000"
TBS2,1,"1375000"
TBS2,2,"700000"
TBS2,3,"350000"
TBS2,4,"350000"
TBS2,5,"150000"
TBS2,6,"150000"
TBS2,7,"150000"
TBS2,8,"150000"
